ID,Name,First Name,Last Name,TM,LG,B,B_1,POW,POW P,HistID
20696,Aaron Judge,Aaron,Judge,New York,Major League Baseball,Right,R,80,80,judgeaa01
19978,Aaron Schunk,Aaron,Schunk,Colorado,Major League Baseball,Right,R,40,40,schunaa01
18409,Abraham Toro,Abraham,Toro,Boston,Major League Baseball,Switch,S,40,40,toroab01
20753,Adael Amador,Adael,Amador,Colorado,Major League Baseball,Switch,S,30,35,amadoad01
20892,Adam Frazier,Adam,Frazier,Pittsburgh,Major League Baseball,Left,L,35,35,fraziad01
20431,Addison Barger,Addison,Barger,Toronto,Major League Baseball,Left,L,60,60,bargead01
19465,Adley Rutschman,Adley,Rutschman,Baltimore,Major League Baseball,Switch,S,45,50,rutscad01
19563,Adolis García,Adolis,García,Texas,Major League Baseball,Right,R,55,55,garciad02
20298,Adrian Del Castillo,Adrian,Del Castillo,Arizona,Major League Baseball,Left,L,55,55,delcaad01
20074,Agustin Ramirez,Agustin,Ramirez,Miami,Major League Baseball,Right,R,55,55,ramirag01
20879,Akil Baddoo,Akil,Baddoo,Detroit,Major League Baseball,Left,L,40,45,baddoak01
20775,Alan Roden,Alan,Roden,Toronto,Major League Baseball,Left,L,35,40,rodenal01
19944,Alan Trejo,Alan,Trejo,Colorado,Major League Baseball,Right,R,20,40,trejoal01
19535,Alec Bohm,Alec,Bohm,Philadelphia,Major League Baseball,Right,R,40,45,bohmal01
19917,Alec Burleson,Alec,Burleson,St. Louis,Major League Baseball,Left,L,55,55,burleal01
19958,Alejandro Kirk,Alejandro,Kirk,Toronto,Major League Baseball,Right,R,45,50,kirkal01
20890,Alejandro Osuna,Alejandro,Osuna,Texas,Major League Baseball,Left,L,35,40,osunaal02
19320,Alek Thomas,Alek,Thomas,Arizona,Major League Baseball,Left,L,40,40,thomaal01
20659,Alex Bregman,Alex,Bregman,Boston,Major League Baseball,Right,R,55,55,bregmal01
19509,Alex Call,Alex,Call,Washington,Major League Baseball,Right,R,40,40,callal02
20186,Alex Freeland,Alex,Freeland,Los Angeles,Major League Baseball,Switch,S,45,45,freelal01
20837,Alex Jackson,Alex,Jackson,Baltimore,Major League Baseball,Right,R,55,55,jacksal02
19340,Alex Verdugo,Alex,Verdugo,Atlanta,Major League Baseball,Left,L,35,40,verdual01
